00027d54	ipc0_ept_bound	ipc0_ept_bound.c
00027d60	global_ipc_service_send	global_ipc_service_send.c
00027e3c	serialization_init	serialization_init.c
00027eec	register_ipc_service_context	register_ipc_service_context.c
00027f38	FUN_00027f38	FUN_00027f38.c
00027fa8	FUN_00027fa8	FUN_00027fa8.c
00028088	imu_fusion_init	imu_fusion_init.c
000281dc	update_imu_mode	update_imu_mode.c
0002832c	register_imu_funsion_context	register_imu_funsion_context.c
00028388	spi_master_trans_data_tx_rx	spi_master_trans_data_tx_rx.c
00028414	spi_master_deinit	spi_master_deinit.c
000284f4	spi_master_init	spi_master_init.c
00028678	spi_master_register_context	spi_master_register_context.c
00028694	FUN_00028694	FUN_00028694.c
000286c4	FUN_000286c4	FUN_000286c4.c
00028700	FUN_00028700	FUN_00028700.c
00028888	FUN_00028888	FUN_00028888.c
000288c4	FUN_000288c4	FUN_000288c4.c
000288e4	FUN_000288e4	FUN_000288e4.c
00028904	FUN_00028904	FUN_00028904.c
0002892c	unlock_mutext_2000851c	unlock_mutext_2000851c.c
00028938	low_speed_peripheral_dispatch_thread_for_test	low_speed_peripheral_dispatch_thread_for_test.c
00028a0c	ble_msg_dispatch_thread	ble_msg_dispatch_thread.c
00028acc	FUN_00028acc	FUN_00028acc.c
00028ad8	FUN_00028ad8	FUN_00028ad8.c
00028ae4	check_disp_onboarding	check_disp_onboarding.c
00028c8c	check_bind_status	check_bind_status.c
00028d2c	FUN_00028d2c	FUN_00028d2c.c
00028d88	?_get_charger_device	get_charger_device.c
00028d90	try_enter_low_power_mode	try_enter_low_power_mode.c
00029078	sync_to_slave	sync_to_slave.c
000294d0	FUN_000294d0	FUN_000294d0.c
00029684	FUN_00029684	FUN_00029684.c
00029774	FUN_00029774	FUN_00029774.c
000297e0	check_work_mode	check_work_mode.c
00029dc8	check_disp_quicknote	check_disp_quicknote.c
00029fbc	slave_display_thread	slave_display_thread.c
0002a8d0	msg_sync_thread	msg_sync_thread.c
0002acb4	on_double_click	on_double_click.c
0002acdc	?_exit_silent_mode	exit_silent_mode.c
0002ad28	?_enter_silent_mode	enter_silent_mode.c
0002ad5c	on_triple_click	on_triple_click.c
0002ad94	product_test_touch_key_thread	product_test_touch_key_thread.c
0002afb8	display_dispatch_thread	display_dispatch_thread.c
0002b978	?_init_key_event_sem	init_key_event_sem.c
0002b998	key_event_thread	key_event_thread.c
0002c278	FUN_0002c278	FUN_0002c278.c
0002c290	touch_key_thread	touch_key_thread.c
0002c6dc	FUN_0002c6dc	FUN_0002c6dc.c
0002c6f4	FUN_0002c6f4	FUN_0002c6f4.c
0002c710	?_nfc_related	nfc_related.c
0002c8a4	FUN_0002c8a4	FUN_0002c8a4.c
0002c8b8	init_threads	init_threads.c
0002ca94	check_sw0_status	check_sw0_status.c
0002cb04	low_speed_peripheral_dispatch_thread	low_speed_peripheral_dispatch_thread.c
0002cf14	init_watchdog	init_watchdog.c
0002d020	?_wdt_feed	wdt_feed.c
0002d050	?_wdt_disable	wdt_disable.c
0002d090	master_process_put_req	master_process_put_req.c
0002d838	trigger_screen_state_change	trigger_screen_state_change.c
0002d8c8	FUN_0002d8c8	FUN_0002d8c8.c
0002d8f8	global_system_suspend	global_system_suspend.c
0002d974	global_system_resume	global_system_resume.c
0002d9e8	FUN_0002d9e8	FUN_0002d9e8.c
0002da10	FUN_0002da10	FUN_0002da10.c
0002da34	update_persist_task_status	update_persist_task_status.c
0002db74	update_temp_task_status	update_temp_task_status.c
0002dc6c	update_persist_task_status_to_idle	update_persist_task_status_to_idle.c
0002dd04	update_persist_task_status_to_wait_blow_head	update_persist_task_status_to_wait_blow_head.c
0002dd80	FUN_0002dd80	FUN_0002dd80.c
0002dd98	FUN_0002dd98	FUN_0002dd98.c
0002ddb0	FUN_0002ddb0	FUN_0002ddb0.c
0002ddc0	sync_message_signal_to_slave	sync_message_signal_to_slave.c
0002de4c	?_check_showing_message	check_showing_message.c
0002dea8	FUN_0002dea8	FUN_0002dea8.c
0002df54	FUN_0002df54	FUN_0002df54.c
0002df6c	?_get_msg_show_state	get_msg_show_state.c
0002e048	process_for_new_message_come_on	process_for_new_message_come_on.c
0002f788	ext_flash_erase	ext_flash_erase.c
0002f820	ext_flash_read	ext_flash_read.c
0002f8c8	ext_flash_write	ext_flash_write.c
0002f970	ext_flash_api_init	ext_flash_api_init.c
0002fa1c	opt3007_reg_read	opt3007_reg_read.c
0002fad0	?_opt3007_read	opt3007_read.c
0002fb04	opt3007_chip_init	opt3007_chip_init.c
0002fd3c	opt3007_chip_deinit	opt3007_chip_deinit.c
0002fd84	register_opt3007_context	register_opt3007_context.c
0002fd9c	?_enable_power_for_panel	enable_power_for_panel.c
0002fdd8	?_disable_power_for_panel	disable_power_for_panel.c
0002fe10	read_sensors	read_sensors.c
0002feb0	fuel_gauge_init	fuel_gauge_init.c
0002ff00	?_change_termination_voltage	change_termination_voltage.c
0002ff30	?_enable_charger	enable_charger.c
0002ff60	?_set_charger_status	set_charger_status.c
0002ffb0	get_box_status_by_type	get_box_status_by_type.c
0002ffc0	set_box_status	set_box_status.c
0002ffd8	is_in_box	is_in_box.c
00030010	is_box_lid_closed	is_box_lid_closed.c
00030038	is_box_charging	is_box_charging.c
00030060	init_box_status	init_box_status.c
00030070	init_dmic_msgq	init_dmic_msgq.c
000300b4	clean_dmic_msgq	clean_dmic_msgq.c
000300f4	enqueue_dmic	enqueue_dmic.c
0003018c	?_get_dmic_num_messages	get_dmic_num_messages.c
00030198	dequeue_dmic	dequeue_dmic.c
00030200	app_codec_lc3_test	app_codec_lc3_test.c
00030440	FUN_00030440	FUN_00030440.c
00030458	FUN_00030458	FUN_00030458.c
00030484	FUN_00030484	FUN_00030484.c
000304a8	erase_audio_buffer	erase_audio_buffer.c
00030520	do_pdm_transfer	do_pdm_transfer.c
00030900	getAudioMessageQueueCacheData	getAudioMessageQueueCacheData.c
00030948	delVoiceBlock	delVoiceBlock.c
00030b28	FUN_00030b28	FUN_00030b28.c
00030b50	sendAudioStram2Cache	sendAudioStram2Cache.c
00030bf8	FUN_00030bf8	FUN_00030bf8.c
00030c04	startAudioStreamRecord	startAudioStreamRecord.c
00030cac	stopAudioStreamRecord	stopAudioStreamRecord.c
00030d18	delAudioStreamRecord	delAudioStreamRecord.c
00030db0	FUN_00030db0	FUN_00030db0.c
00030dc8	FUN_00030dc8	FUN_00030dc8.c
00030de0	FUN_00030de0	FUN_00030de0.c
00030dec	audioStreamFileManagerHandler	audioStreamFileManagerHandler.c
0003160c	AW_DELAY	AW_DELAY.c
00031618	aw9320x_i2c_write	aw9320x_i2c_write.c
0003165c	aw9320x_soft_reset	aw9320x_soft_reset.c
000316c4	aw9320x_para_loaded	aw9320x_para_loaded.c
00031728	print_object	print_object.c
0003176c	aw9320x_check_sum	aw9320x_check_sum.c
00031798	aw9320x_i2c_read	aw9320x_i2c_read.c
000317e0	aw9320x_send_once_cmd	aw9320x_send_once_cmd.c
00031990	aw9320x_read_chipid	aw9320x_read_chipid.c
000319c8	aw9320x_flash_update	aw9320x_flash_update.c
00031bb0	aw9320x_update_fw_to_flash	aw9320x_update_fw_to_flash.c
00031bf4	aw9320x_fw_update	aw9320x_fw_update.c
00031f90	aw9320x_get_irq_stat	aw9320x_get_irq_stat.c
00031fdc	aw9320x_init	aw9320x_init.c
000320c4	$_?_FUN_000320c4	FUN_000320c4.c
00032100	$_?_FUN_00032100	FUN_00032100.c
00032130	aw93203_init	aw93203_init.c
0003214c	FUN_0003214c	FUN_0003214c.c
00032158	FUN_00032158	FUN_00032158.c
00032164	FUN_00032164	FUN_00032164.c
00032170	comm_write	comm_write.c
000321b0	set_restart_mode	set_restart_mode.c
000321e0	get_version	get_version.c
00032228	get_mac_info	get_mac_info.c
00032268	into_long_trip_mode	into_long_trip_mode.c
000322c8	get_mac_info	get_mac_info.c
00032318	get_keyboard_info	get_keyboard_info.c
0003236c	set_brightness	set_brightness.c
000323c4	set_restart_mode	set_restart_mode.c
00032404	get_imu_info	get_imu_info.c
00032488	get_esb_info	get_esb_info.c
000324e0	get_brightness_lum_info	get_brightness_lum_info.c
0003253c	get_canvas_pos_info	get_canvas_pos_info.c
0003258c	get_charge_test_info	get_charge_test_info.c
00032650	set_battery_info	set_battery_info.c
000326e8	set_canvas_pos_info	set_canvas_pos_info.c
0003278c	get_keyboard_info	get_keyboard_info.c
00032828	get_mic_info	get_mic_info.c
00032894	get_flash_info	get_flash_info.c
00032900	exit_mic_mode	exit_mic_mode.c
00032940	set_mic_nocompress	set_mic_nocompress.c
000329ec	set_mic_info	set_mic_info.c
00032b98	resume_panel	resume_panel.c
00032bd0	suspend_panel	suspend_panel.c
00032c08	chnange_test_image	chnange_test_image.c
00032c40	get_role_info_right	get_role_info_right.c
00032c88	get_role_info_left	get_role_info_left.c
00032cd0	power_on_opt3007	power_on_opt3007.c
00032d08	power_off_opt3007	power_off_opt3007.c
00032d40	set_comflag	set_comflag.c
00032db8	get_brightness_info	get_brightness_info.c
00032e00	get_sn_info	get_sn_info.c
00032e70	get_mac_info	get_mac_info.c
00032ecc	get_glasses_sn_info	get_glasses_sn_info.c
00032f3c	get_firmware_mode	get_firmware_mode.c
00032f7c	set_brightness_lum_base	set_brightness_lum_base.c
00033058	set_imu_base	set_imu_base.c
00033160	set_glasses_sn_info	set_glasses_sn_info.c
000331f8	get_assign_channel_info	get_assign_channel_info.c
000332c8	get_query_sn_info	get_query_sn_info.c
00033360	set_charge_limit	set_charge_limit.c
00033404	set_panel_voltage	set_panel_voltage.c
00033498	mic_transm_thread	mic_transm_thread.c
00033604	get_flash_info	get_flash_info.c
000336ec	FUN_000336ec	FUN_000336ec.c
00033754	FUN_00033754	FUN_00033754.c
00033760	FUN_00033760	FUN_00033760.c
00033770	FUN_00033770	FUN_00033770.c
00033784	FUN_00033784	FUN_00033784.c
000337ac	get_battery_info	get_battery_info.c
00033a30	process_pt_protocol	process_pt_protocol.c
00033b18	FUN_00033b18	FUN_00033b18.c
00033b34	is_ext_flash_burned	is_ext_flash_burned.c
00033d24	get_flash_burn_info	get_flash_burn_info.c
00033d5c	FUN_00033d5c	FUN_00033d5c.c
00033d68	?_set_test_mode	set_test_mode.c
00033d94	enter_into_testmode	enter_into_testmode.c
00033e20	FUN_00033e20	FUN_00033e20.c
00033e2c	FUN_00033e2c	FUN_00033e2c.c
00033e38	FUN_00033e38	FUN_00033e38.c
00033e44	FUN_00033e44	FUN_00033e44.c
00033f24	FUN_00033f24	FUN_00033f24.c
00033f58	set_aging_test_info	set_aging_test_info.c
00034000	aging_charge_test	aging_charge_test.c
00034448	aging_test_thread	aging_test_thread.c
000344c8	FUN_000344c8	FUN_000344c8.c
000345f4	start_aging_mode_thread	start_aging_mode_thread.c
00034658	start_mic_transm_thread	start_mic_transm_thread.c
00034694	setUARTDevice	setUARTDevice.c
000346b4	FUN_000346b4	FUN_000346b4.c
000346d0	?_lock_sensor_mutex	lock_sensor_mutex.c
000346e4	?_unlock_sensor_mutex	unlock_sensor_mutex.c
000346f8	process_pt_data	process_pt_data.c
000348f0	?_init_serial_port	init_serial_port.c
00034954	?_init_serial_comm	init_serial_comm.c
00034998	uart_callback	uart_callback.c
00034c60	%_lpuart_async_b	__lpuart_async_b.c
00034cb4	lpuart_async_a	lpuart_async_a.c
00034d2c	FUN_00034d2c	FUN_00034d2c.c
00034d44	?_send_notifi_app_white_list_app	send_notifi_app_white_list_app.c
00034e60	com_android_phone_missed	com_android_phone_missed.c
00034f00	post_notification_cmd_process	post_notification_cmd_process.c
00035070	get_notification_counts_cmd_response	get_notification_counts_cmd_response.c
000350d0	get_notification_counts_cmd_process	get_notification_counts_cmd_process.c
00035120	?_normal_g_arrMsgContent	normal_g_arrMsgContent.c
00035160	?_push_g_arrMsgContent	push_g_arrMsgContent.c
0003519c	FUN_0003519c	FUN_0003519c.c
